,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
10,ELEC,Port of San Diego - Hilton San Diego Bayfront,1 Park Blvd,"Located on the ground floor of garage 
near elevators closest to Petco Park
",San Diego,CA,92101,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,32.704546,-117.157578,2019-10-19,95098,0.85715,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,1.37945,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
11,ELEC,City of Coronado City Hall,1825 Strand Way,,Coronado,CA,92118,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,32.678213,-117.173768,2019-10-19,95269,2.66551,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,4.28972,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
12,ELEC,Padres Parkade Garage,440 10th Ave,"Chargers are located on the first floor 
of the garage
",San Diego,CA,92101,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,32.709987,-117.155581,2019-10-19,95331,0.62261,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,1.00199,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
13,ELEC,City of San Diego - Central Library,330 Park Boulevard,,San Diego,CA,92101,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,9,,,Blink Network,http://www.blinkcharging.com/,GPS,32.708963,-117.153793,2019-10-19,96108,0.74767,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,1.20326,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
14,ELEC,Ace Parking - Omni Hotel,675 L Street,"Stations are in valet garage
",San Diego,CA,92101,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,32.707115,-117.158705,2019-10-19,96149,0.66834,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,1.07559,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
15,ELEC,Second Street and B Avenue,"Second Street, B Avenue","Chargers located on the corner of 2nd 
St & B Ave next to the baseball field
",Coronado,CA,92118,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,32.696812,-117.170396,2019-10-19,96280,1.36745,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,2.2007,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
16,ELEC,Educational Cultural Complex,4343 Ocean View Blvd.,"Parking permit required, which is 
available for purchase in parking lot
",San Diego,CA,92113,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,4,,,Blink Network,http://www.blinkcharging.com/,GPS,32.699574,-117.101727,2019-10-19,96287,3.76719,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,6.0627,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
17,ELEC,Greenlots - 63083,1940 National City Blvd,,National City,CA,91950,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,32.665584564209,-117.103340148926,2019-10-17,99104,4.93657,2019-10-17 09:51:13 UTC,,,,,,,,,CHADEMO J1772COMBO,US,7.94464,,,,Public,,public,,,,,,,,,,DC Fast: Free,,,,,,,,,
18,ELEC,Cesar E. Chavez Campus (SDCC),1901 Main Street,"Chargers located in underground parking.
",San Diego,CA,92113,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,32.698464,-117.14636,2019-10-19,104546,1.5683,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,2.52393,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
19,ELEC,Hotel del Coronado - Tesla Destination,1500 Orange Ave,,Coronado,CA,92118,,888-468-3533  877-798-3752,E,,Public,24 hours daily; for Tesla use only; for customer use only; see valet for access,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.681752,-117.177563,2019-05-09,112934,2.48799,2019-05-14 21:16:45 UTC,P,,,2015-03-01,,,,,TESLA,US,4.00403,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
20,ELEC,Coronado Island Marriott Resort - Tesla Destination,2000 2nd St,,Coronado,CA,92118,,619-435-3000  877-798-3752,E,,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.694532,-117.167041,2019-05-09,112935,1.48313,2019-05-14 21:16:45 UTC,P,,,2015-05-01,,,,,TESLA,US,2.38687,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
21,ELEC,Pendry San Diego - Tesla Destination,550 J St,,San Diego,CA,92101,,619-738-7000  877-798-3752,E,,Public,24 hours daily; for Tesla use only; pay lot,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.70957,-117.159189,2019-05-09,113321,0.50587,2019-05-14 21:16:45 UTC,P,,,2018-11-01,,,,,TESLA,US,0.81412,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
22,ELEC,NAVY EXCHANGE,2017 Colorado St,ST 01 N. ISLAND,Coronado,CA,92118,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.7015871,-117.1842084,2019-10-19,121023,1.53613,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,2.47216,,,,Public,,public,,,,,,,,,,"Pricing is based on an hourly rate. $0.99 per hour, minimum payment of $0.99",,,,,,,,,
23,ELEC,Caltrans - District 11,4050 Taylor St,,San Diego,CA,92110,,866-816-7584,E,,Public,24 hours daily,,,,,,3,,,EV Connect,http://evconnect.com/,GPS,32.715738,-117.161084,2019-06-06,122727,0.15834,2019-08-02 19:41:18 UTC,SG,,,2019-04-01,,,,,J1772,US,0.25482,,,,Public,,public,,,STATE_GOV,,,,,,,,,,,,,,,,
24,ELEC,SDECC,4343 Ocean View Blvd,,San Diego,CA,92113,,877-455-3833,E,,Public - Card key at all times,24 hours daily,,,,,,,2,,eVgo Network,https://www.evgo.com/,GPS,32.699457,-117.101887,2019-10-19,125122,3.76078,2019-10-19 09:49:11 UTC,,,,,,,,,CHADEMO J1772COMBO,US,6.05239,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,,,,,,,,,,,,,,,,,
25,ELEC,Northgate Market,1410 S 43rd St,,San Diego,CA,92113,,877-455-3833,E,,Public - Card key at all times,24 hours daily,,,,,,,4,,eVgo Network,https://www.evgo.com/,GPS,32.691064,-117.103961,2019-10-19,135114,3.86659,2019-10-19 09:49:11 UTC,,,,,,,,,CHADEMO J1772COMBO,US,6.22267,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,,,,,,,,,,,,,,,,,
26,ELEC,MTS Garage Lot #526,1255 Imperial Avenue,,San Diego,CA,92101,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,3,,,SemaCharge Network,http://www.semacharge.com/,GPS,32.7057287,-117.1532674,2019-10-19,144073,0.92562,2019-10-19 09:08:01 UTC,,,,,,,,,J1772,US,1.48964,,,,Public,,public,,,,,,,,,,$1.00-$2.00/Hr Variable Parking Fee,,,,,,,,,
27,ELEC,IRVINE  CO  OFC,101 W Broadway,"101 W BROAD 01; Parking Rates Apply: Stations are on P2, please follow signs.
101 W BROAD 02; Parking Rates Apply: Stations are on P2, follow signs.",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.71577,-117.16693,2019-10-19,63166,0.18022,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.29004,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,,,,,,,,
28,ELEC,IRVINE  CO  OFC,600 West Broadway,"600 W BROAD 01; Station are on P2.
600 W BROAD 02; Stations are on Level 2.
600 W BROAD 03; Stations are on P2.
600 W BROAD 04; Stations are on P2.
600 W BROAD 05; Stations are on P2.",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,9,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.715922,-117.168672,2019-10-19,144977,0.28104,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.45229,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,,,,,,,,
29,ELEC,City College - Parking Structure - 2nd Floor,1060 16th St,,San Diego,CA,92101,,888-998-2546,E,,Public,MON: 6:00am-11:00pm | TUE: 6:00am-11:00pm | WED: 6:00am-11:00pm | THU: 6:00am-11:00pm | FRI: 6:00am-5:00pm,,,,,,6,,,Blink Network,http://www.blinkcharging.com/,GPS,32.716087,-117.14881,2019-10-19,96116,0.86929,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,1.39899,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
30,ELEC,US Grant - Tesla Destination,326 Broadway,,San Diego,CA,92101,,619-232-3121  877-798-3752,E,,Public,24 hours daily; for Tesla use only; for customer use only; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.716075,-117.161533,2019-05-09,113312,0.13246,2019-05-14 21:16:45 UTC,P,,,2012-04-01,,,,,TESLA,US,0.21317,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
31,ELEC,The Bristol Hotel - Tesla Destination,1055 1st Ave,,San Diego,CA,92101,,619-232-6141  877-798-3752,E,,Public,24 hours daily; for Tesla use only; for customer use only; see front desk for access,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.716458,-117.163517,2019-05-09,113303,0.01773,2019-05-14 21:16:45 UTC,P,,,2016-08-15,,,,,TESLA,US,0.02853,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
32,ELEC,1111 6th Avenue,"1111 6th Avenue, Parking Basement",First Parking Tier Behind Building ,San Diego,CA,92101,,800-663-5633,E,,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,32.717006,-117.15898,2019-10-19,126077,0.28071,2019-10-19 09:08:01 UTC,,,,,,,,,J1772,US,0.45176,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,
33,ELEC,Lane Field North Garage - Tesla Destination,900 Bayfront Ct,,San Diego,CA,92101,,619-831-0225  877-798-3752,E,,Public,24 hours daily; for Tesla use only; pay lot,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.717029,-117.171733,2019-05-09,113324,0.45783,2019-05-14 21:16:45 UTC,P,,,2018-11-01,,,,,TESLA,US,0.73681,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
34,ELEC,IRVINE  CO  OFC,401 B St,"WFP P5 01; Stations are on Level P5A
WFP P5 02; Stations are on Level P5A
WFP P5 03; Stations are on Level P5A
WFP P5 04; Enter Parking Structure, proceed to Level P5, follow signs, this station is in an ADA stall by the elevator",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.717474,-117.160461,2019-10-19,50435,0.19514,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.31405,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,,,,,,,,
35,ELEC,Bank of America - Private Bank,701 B St,,San Diego,CA,92101,,619-515-5620,E,,Public,Business hours,,,,,,8,,,Non-Networked,,200-9,32.717523,-117.157895,2019-06-06,123516,0.34376,2019-06-06 17:52:59 UTC,P,,,2019-05-01,,,,,J1772,US,0.55323,,,,Public,,public,,,BANK,,,,,,,,,,,,,,,,
36,ELEC,W San Diego - Tesla Destination,421 West B St,,San Diego,CA,92101,,619-398-3100  877-798-3752,E,,Public,24 hours daily; for Tesla use only; for customer use only; see valet for access,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.717542,-117.16689,2019-05-09,113315,0.17714,2019-05-14 21:16:45 UTC,P,,,2015-07-01,,,,,TESLA,US,0.28508,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,
37,ELEC,DGS MAIN,1300 Front St,"SD FRONT 01; MONHTLY PARKERS ONLY
SD FRONT 02; MONHTLY PARKERS ONLY",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,32.71777,-117.164939,2019-10-19,103541,0.06406,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.10309,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0.31 per hour for the first 4 hours, and $1.15 per additional hour, $0.12 per kWh",,,,,,,,,
38,ELEC,IRVINE  CO  OFC,750 B St,"SYMPHNY TWRS 01; Parking Rates Apply: Enter the parking garage and proceed to P11, stations are near the elevator.
SYMPHNY TWRS 02; Parking Rates Apply: Enter parking garage and proceed to P11, stations are by the elevator.
SYMPHNY TWRS 03; Parking Rates Apply: Enter parking garage and proceed to P11, stations are near the elevator.",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.71808,-117.157899,2019-10-19,62458,0.34376,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.55323,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1.25 per hour for the first 4 hours, and $3 per additional hour, maximum payment of $24, maximum session time is 24 hours",,,,,,,,,
39,ELEC,2 Columbia Place,1230 Columbia Street,The stations are located on P1,San Diego,CA,92101,,800-663-5633,E,,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,,,,,4,,,SemaCharge Network,http://www.semacharge.com/,GPS,32.7181583,-117.1676758,2019-10-19,89795,0.22239,2019-10-19 09:08:01 UTC,,,,,,,,,J1772,US,0.3579,,,,Public,,public,,,,,,,,,,$1.00/Hr Parking Fee,,,,,,,,,
40,ELEC,Ace Parking Downtown Lot 1,1240 4th Ave,,San Diego,CA,92107,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,32.718288,-117.161218,2019-10-19,95753,0.15164,2019-10-19 08:08:07 UTC,,,,,,,,,J1772,US,0.24404,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,
41,ELEC,TKOS I LLC,450 B St,"450 B TOWER 1; Enter parking garage from 4th Ave or 5th Ave. Follow directional signs to stations located on Level A. Parking rates apply for non-tenant parkers. Mon-Fri 7am-7am Sat-Sun Closed
450 B TOWER 2; Enter parking garage from 4th Ave or 5th Ave. Follow directional signs to stations located on Level A. Parking rates apply for non-tenant parkers. Mon-Fri 7am-7am Sat-Sun Closed
450 B TOWER 3; Enter parking garage from 4th Ave or 5th Ave. Follow directional signs to stations located on Level A. Parking rates apply for non-tenant parkers. Mon-Fri 7am-7am Sat-Sun Closed",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.718379,-117.160661,2019-10-19,85986,0.18394,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.29602,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time. $1 per hour for the first 3 hours, and $3 per additional hour",,,,,,,,,
42,ELEC,1 Columbia Place,401 West A Street,The stations are located on P1,San Diego,CA,92101,,800-663-5633,E,,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,,,,,4,,,SemaCharge Network,http://www.semacharge.com/,GPS,32.7183484,-117.1670069,2019-10-19,89794,0.18357,2019-10-19 09:08:01 UTC,,,,,,,,,J1772,US,0.29543,,,,Public,,public,,,,,,,,,,$1.00/Hr Parking Fee,,,,,,,,,
43,ELEC,SAVINA,1302 Kettner Blvd,"SPACES 221-223
SPACES 289-290; SPACE 289,290
SPACES 295-296; Space 295,296
SPACES 355-357; Space 355,357",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,8,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.71894,-117.169408,2019-10-19,143536,0.32237,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.5188,,,,Public,,public,,,,,,,,,,$0.25 per kWh,,,,,,,,,
44,ELEC,DGS MAIN,200 W A St,SD ASH 05,San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.7190876,-117.1652997,2019-10-19,121001,0.08439,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.13581,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0.31 per hour for the first 4 hours, and $1.15 per additional hour, $0.12 per kWh",,,,,,,,,
45,ELEC,DGS MAIN,1350 Front St,"SD FRONT 03; MONHTLY PARKERS ONLY
SD FRONT 04; MONHTLY PARKERS ONLY
SD FRONT 05; MONHTLY PARKERS ONLY
SD FRONT 06; MONHTLY PARKERS ONLY
SD FRONT 07; MONHTLY PARKERS ONLY
SD FRONT 08",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,12,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.719425,-117.165024,2019-10-19,103538,0.06828,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.10989,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0.31 per hour for the first 4 hours, and $1.15 per additional hour, $0.12 per kWh",,,,,,,,,
46,ELEC,6th & A Parking Garage - Tesla Supercharger,1350 6th Avenue,,San Diego,CA,92101,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,16,,Tesla,http://www.teslamotors.com/supercharger,200-9,32.719459,-117.159444,2019-05-09,102061,0.25487,2019-05-09 14:33:40 UTC,P,,,2018-07-23,,,,,TESLA,US,0.41017,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,
47,ELEC,SAVINA,1372 Kettner Blvd,"SPACES 148-149
SPACES 155-156; Parking Space 155, 156
SPACES 161-162
SPACES 167-168; 0024:B100:0003:2634
SPACES 169-171
SPACES 175-177
SPACES 215-217
SPACES 299-301
SPACES 303-305
SPACES 359-361; Space 359,361",San Diego,CA,92101,,888-758-4389,E,,Public,24 hours daily,,,,,,20,,,ChargePoint Network,http://www.chargepoint.com/,200-9,32.719517,-117.169452,2019-10-19,143537,0.32467,2019-10-19 09:11:22 UTC,,,,,,,,,J1772,US,0.52251,,,,Public,,public,,,,,,,,,,$0.25 per kWh,,,,,,,,,
